,name,mana_cost,cmc,edhrec_rank
12270,Wall of Deceit,{1}{U},2.0,12602.0
12271,Aether Poisoner,{1}{B},2.0,13724.0
12272,Jandor's Ring,{6},6.0,22219.0
12273,Voice of the Vermin,{3}{G},4.0,17405.0
12274,Godless Shrine,,0.0,68.0
12275,Sautekh Immortal,{2}{B},3.0,13181.0
12276,Tourach's Canticle,{3}{B},4.0,14040.0
12277,Viscid Lemures,{4}{B},5.0,22648.0
12278,Fiddlehead Kami,{4}{G},5.0,21547.0
12279,Goblin Gaveleer,{R},1.0,9833.0
12280,Delirium Skeins,{2}{B},3.0,5041.0
12281,Dollhouse of Horrors,{5},5.0,6661.0
12282,"Rick, Steadfast Leader",{2}{W}{W},4.0,5601.0
12283,Hollowhead Sliver,{2}{R},3.0,7986.0
12284,"Cadric, Soul Kindler",{2}{R}{W},4.0,5831.0
12285,Aven Fateshaper,{6}{U},7.0,19610.0
12286,Stangg,{4}{R}{G},6.0,17170.0
12287,Amugaba,{5}{U}{U},7.0,22242.0
12288,"Alora, Cheerful Scout",{3}{G}{U},5.0,
12289,Lantern-Lit Graveyard,,0.0,15174.0
12290,Tavern Ruffian // Tavern Smasher,,4.0,11207.0
12291,Serendib Sorcerer,{1}{U}{U},3.0,13025.0
12292,Quandrix Cultivator,{1}{G}{G/U}{U},4.0,4950.0
12293,Utopia Tree,{1}{G},2.0,9353.0
12294,Gutwrencher Oni,{3}{B}{B},5.0,16105.0
12295,Gaea's Might,{G},1.0,17722.0
12296,Weatherlight,{4},4.0,1803.0
12297,Sejiri Refuge,,0.0,2579.0
12298,World-Bottling Kit,{5},5.0,
12299,Burrog Befuddler,{1}{U},2.0,10829.0
12300,Ghostly Visit,{2}{B},3.0,22968.0
12301,Kjeldoran Warrior,{W},1.0,17086.0
12302,Volrath's Stronghold,,0.0,1688.0
12303,Wanderlust,{2}{G},3.0,21535.0
12304,The Avenger,,0.0,
12305,Wings of the Guard,{1}{W},2.0,17148.0
12306,Nomad Decoy,{2}{W},3.0,23035.0
12307,Boros Guildgate,,0.0,968.0
12308,Tanazir Quandrix,{3}{G}{U},5.0,5436.0
12309,Tel-Jilad Defiance,{1}{G},2.0,17515.0
12310,Cloak and Dagger,{2},2.0,5589.0
12311,Retreat to Hagra,{2}{B},3.0,2083.0
12312,Aven Envoy,{U},1.0,19185.0
12313,Weatherseed Elf,{G},1.0,15087.0
12314,Giant's Ire,{3}{R},4.0,14099.0
12315,City's Blessing,,0.0,
12316,Lose Calm,{3}{R},4.0,13878.0
12317,Call the Coppercoats,{2}{W},3.0,1105.0
12318,Gilded Assault Cart,{1}{R}{R},3.0,11217.0
12319,Markov Dreadknight,{3}{B}{B},5.0,14805.0
12320,Glacial Chasm,,0.0,1926.0
12321,Ingenious Thief,{1}{U},2.0,19569.0
12322,Pulse of the Grid,{1}{U}{U},3.0,9992.0
12323,Hail Storm,{1}{G}{G},3.0,21378.0
12324,Roilmage's Trick,{3}{U},4.0,21430.0
12325,Intellectual Offering,{4}{U},5.0,6464.0
12326,Reptilian Reflection,{2}{R},3.0,18033.0
12327,"Sygg, River Guide",{W}{U},2.0,11852.0
12328,Gargadon,{5}{R}{R},7.0,14584.0
12329,Red Ward,{W},1.0,16155.0
12330,Lucid Dreams // Lucid Dreams,,0.0,
12331,Chalice of the Void,{X}{X},0.0,4506.0
12332,Goma Fada Vanguard,{1}{R},2.0,13995.0
12333,Relentless Dead,{B}{B},2.0,2762.0
12334,Déjà Vu,{2}{U},3.0,17304.0
12335,Rot Wolf,{2}{G},3.0,5663.0
12336,Wrath of Marit Lage,{3}{U}{U},5.0,16126.0
12337,Geralf's Messenger,{B}{B}{B},3.0,4528.0
12338,Yawgmoth's Vile Offering,{4}{B},5.0,3227.0
12339,Wizard's Spellbook,{5}{U}{U},7.0,4557.0
12340,Witchbane Orb,{4},4.0,10220.0
12341,Mobilize,{G},1.0,8472.0
12342,Celestial Mantle,{3}{W}{W}{W},6.0,4869.0
12343,Faerie Rogue,,0.0,
12344,Super-Duper Death Ray,{2}{R},3.0,
12345,Wandering Fumarole,,0.0,4158.0
12346,"Rulik Mons, Warren Chief",{1}{R}{G}{G},4.0,11508.0
12347,Wall of Frost,{1}{U}{U},3.0,3132.0
12348,The Raven's Warning,{1}{W}{U},3.0,10331.0
12349,Boiling Seas,{3}{R},4.0,14472.0
12350,Scion of Ugin,{6},6.0,16111.0
12351,Sejiri Merfolk,{1}{U},2.0,19775.0
12352,Mantle of the Ancients,{3}{W}{W},5.0,1544.0
12353,Lammastide Weave,{1}{G},2.0,23134.0
12354,Mist-Cloaked Herald,{U},1.0,1903.0
12355,Lady Caleria,{3}{G}{G}{W}{W},7.0,19018.0
12356,Inheritance,{W},1.0,12789.0
12357,Mournwillow,{1}{B}{G},3.0,16180.0
12358,Bog Naughty,{3}{B}{B},5.0,13293.0
12359,Disruptive Student,{2}{U},3.0,13394.0
12360,Read the Runes,{X}{U},1.0,5297.0
12361,Myr Landshaper,{3},3.0,12706.0
12362,Dromoka Captain,{2}{W},3.0,16714.0
12363,Final Punishment,{3}{B}{B},5.0,17070.0
12364,Grixis Panorama,,0.0,1705.0
12365,Kithkin Zealot,{1}{W},2.0,20164.0
12366,Skullmane Baku,{3}{B}{B},5.0,18648.0
12367,"Vazi, Keen Negotiator",{2}{B}{R}{G},5.0,11104.0
12368,Reweave,{5}{U},6.0,9663.0
12369,Shapers of Nature,{1}{G}{U},3.0,9587.0
12370,Dutiful Thrull,{W},1.0,19985.0
12371,Unworthy Dead,{1}{B},2.0,15231.0
12372,Implements of Sacrifice,{2},2.0,20060.0
12373,Pyric Salamander,{1}{R},2.0,23893.0
12374,Ancient Brontodon,{6}{G}{G},8.0,9015.0
12375,D'Avenant Trapper,{2}{W},3.0,17222.0
12376,Sin Prodder,{2}{R},3.0,3140.0
12377,Ominous Roost,{2}{U},3.0,11540.0
12378,Construct,,0.0,
12379,Cunning Geysermage,{2}{U},3.0,14138.0
12380,Warmonger Hellkite,{4}{R}{R},6.0,5927.0
12381,Drag to the Underworld,{2}{B}{B},4.0,4211.0
12382,"Hargilde, Kindly Runechanter",{2}{W}{U},4.0,10900.0
12383,Heroism,{2}{W},3.0,23815.0
12384,Frontline Rebel,{2}{R},3.0,23242.0
12385,Trivia Contest,,0.0,
12386,Thornado,{2}{G},3.0,16135.0
12387,Pillory of the Sleepless,{1}{W}{B},3.0,11988.0
12388,Eager First-Year,{1}{W},2.0,18339.0
12389,Menagerie Curator,{1}{G},2.0,
12390,Sun-Crested Pterodon,{4}{W},5.0,15896.0
12391,Death-Hood Cobra,{1}{G},2.0,11488.0
12392,Sandsteppe Scavenger,{4}{G},5.0,20409.0
12393,Devil K. Nevil,{2}{R},3.0,
12394,Ball Lightning,{R}{R}{R},3.0,7599.0
12395,Eddytrail Hawk,{1}{W},2.0,16807.0
12396,Phyrexian Ghoul,{2}{B},3.0,9969.0
12397,Adorable Kitten,{W},1.0,
12398,Heavy Arbalest,{3},3.0,16283.0
12399,Everlasting Lich,{2}{B}{B}{B},5.0,
12400,Talon Sliver,{1}{W},2.0,7950.0
12401,Sengir Vampire,{3}{B}{B},5.0,12487.0
12402,Hellhole Rats,{2}{B}{R},4.0,19834.0
12403,"Unesh, Criosphinx Sovereign",{4}{U}{U},6.0,5841.0
12404,Smoldering Egg // Ashmouth Dragon,,2.0,4121.0
12405,Hidetsugu's Second Rite,{3}{R},4.0,16336.0
12406,Snowfield Sinkhole,,0.0,1437.0
12407,Haywire Mite,{1},1.0,
12408,Thaumaturge's Familiar,{3},3.0,16070.0
12409,Elemental,,0.0,
12410,Puresteel Paladin,{W}{W},2.0,964.0
12411,Tresserhorn Sinks,,0.0,12098.0
12412,Tower of Eons,{4},4.0,17080.0
12413,Redirect,{U}{U},2.0,6266.0
12414,Weldfast Engineer,{1}{B}{R},3.0,23217.0
12415,Searing Blaze,{R}{R},2.0,12718.0
12416,Yawgmoth's Testament,{2}{B},3.0,
12417,Tropical Island,,0.0,419.0
12418,Turn to Frog,{1}{U},2.0,7959.0
12419,Viashino Grappler,{2}{R},3.0,23214.0
12420,Hypochondria,{1}{W},2.0,22401.0
12421,Beloved Beggar // Generous Soul,,2.0,16554.0
12422,Patchwork Crawler,{1}{U},2.0,11799.0
12423,Ultramarines Honour Guard,{3}{W},4.0,9819.0
12424,Mana Drain,{U}{U},2.0,99.0
12425,Armored Skaab,{2}{U},3.0,13753.0
12426,Wind-Kin Raiders,{4}{U}{U},6.0,22293.0
12427,Wrenn and Seven Emblem,,0.0,
12428,Dusk Mangler,{5}{B}{B},7.0,8091.0
12429,Icehide Troll // Icehide Troll,,0.0,
12430,Slipstream Eel,{5}{U}{U},7.0,18480.0
12431,Dwarven Mine,,0.0,1949.0
12432,The Tarrasque // Tarrasque,,0.0,
12433,Darkpact,{B}{B}{B},3.0,
12434,Scavenger Folk,{G},1.0,17615.0
12435,Escape Artist,{1}{U},2.0,12439.0
12436,Vitality Charm,{G},1.0,14388.0
12437,Triskelion,{6},6.0,2640.0
12438,Haunted Cloak,{3},3.0,1558.0
12439,Monkey Monkey Monkey,{3}{G},4.0,
12440,Court Hussar,{2}{U},3.0,18188.0
12441,Knight,,0.0,
12442,Candles' Glow,{1}{W},2.0,18893.0
12443,You've Been Caught Stealing,{1}{R},2.0,13214.0
12444,Nimble Obstructionist,{2}{U},3.0,2570.0
12445,Academy Raider,{2}{R},3.0,15094.0
12446,Skitter Eel,{3}{U},4.0,13723.0
12447,Assembly-Worker,{3},3.0,21269.0
12448,Vampire,,0.0,
12449,Liliana's Spoils,{3}{B},4.0,14649.0
12450,The Reality Chip,{1}{U},2.0,1079.0
12451,Lullmage Mentor,{1}{U}{U},3.0,4972.0
12452,Howling Golem,{3},3.0,4437.0
12453,Gideon's Battle Cry,{2}{W}{W},4.0,15482.0
12454,Evil Eye of Urborg,{4}{B},5.0,10142.0
12455,Ingenious Artillerist,{2}{R},3.0,4011.0
12456,Basilica Screecher,{1}{B},2.0,6130.0
12457,Supreme Will,{2}{U},3.0,3918.0
12458,Ornithopter,,0.0,
12459,Emergence Zone,,0.0,443.0
12460,Seek the Horizon,{3}{G},4.0,6747.0
12461,Bala Ged Scorpion,{3}{B},4.0,22088.0
12462,Grafdigger's Cage,{1},1.0,1500.0
12463,"Slinn Voda, the Rising Deep",{6}{U}{U},8.0,2622.0
12464,"Sorin, Vampire Lord",{4}{B}{B},6.0,13098.0
12465,On an Adventure,,0.0,
12466,Aberrant Mind Sorcerer,{4}{U},5.0,8709.0
12467,"Rasaad, Shadow Monk",{2}{W}{B},4.0,
12468,Fishliver Oil,{1}{U},2.0,17205.0
12469,Rats of Rath,{1}{B},2.0,16402.0
12470,Dire Undercurrents,{3}{U/B}{U/B},5.0,7982.0
12471,Mantle of Webs,{1}{G},2.0,17323.0
12472,Sell-Sword Brute,{1}{R},2.0,23530.0
12473,Tattered Haunter,{1}{U},2.0,21217.0
12474,Glorious Charge,{1}{W},2.0,19455.0
12475,Tuktuk the Explorer,{2}{R},3.0,7881.0
12476,Control of the Court,{1}{R},2.0,14676.0
12477,Capashen Standard,{W},1.0,15396.0
12478,Font of Magic,{3}{U},4.0,9117.0
12479,Cloistered Youth // Unholy Fiend,,2.0,22659.0
12480,Cave of Temptation,,0.0,6372.0
12481,Magmatic Channeler // Magmatic Channeler,,0.0,
12482,Cranial Plating,{2},2.0,1965.0
12483,Gargoyle,,0.0,
12484,Pestilent Kathari,{2}{B},3.0,21116.0
12485,Finale of Revelation,{X}{U}{U},2.0,1481.0
12486,Elven Rite,{1}{G},2.0,20273.0
12487,Setessan Tactics,{1}{G},2.0,7156.0
12488,Gruul Guildmage,{R/G}{R/G},2.0,17838.0
12489,"Tetzimoc, Primal Death",{4}{B}{B},6.0,6651.0
12490,Krark-Clan Stoker,{2}{R},3.0,13037.0
12491,"Lulu, Wild Hollyphant",{2}{G}{W},4.0,
12492,Planar Guide,{W},1.0,12963.0
12493,Overwhelming Encounter,{3}{G}{G},5.0,9403.0
12494,Minotaur Aggressor,{6}{R},7.0,16384.0
12495,Kindly Stranger // Demon-Possessed Witch,,3.0,17687.0
12496,Wolfwillow Haven,{1}{G},2.0,2808.0
12497,Serra the Benevolent Emblem,,0.0,
12498,One with the Machine,{3}{U},4.0,3498.0
12499,_____ _____ _____ Trespasser,{1}{U},2.0,23211.0
12500,Char-Rumbler,{2}{R}{R},4.0,20792.0
12501,Torn Between Heads,,0.0,
12502,Kor Duelist,{W},1.0,12250.0
12503,Exhibition Magician,{2}{R},3.0,11123.0
12504,Bubbling Beebles,{4}{U},5.0,21681.0
12505,"Urza, Planeswalker",,8.0,23541.0
12506,Scattered Thoughts,{3}{U},4.0,9582.0
12507,Echo Chamber,{4},4.0,16715.0
12508,Sweep the Skies,{X}{U}{U},2.0,15453.0
12509,Nirkana Cutthroat,{2}{B},3.0,15823.0
12510,"Shabraz, the Skyshark",{3}{W}{U},5.0,4444.0
12511,Hypnotic Specter,{1}{B}{B},3.0,5355.0
12512,Faerie Rogue,,0.0,
12513,Scarred Vinebreeder,{1}{B},2.0,20504.0
12514,Terror of the Fairgrounds,{3}{R},4.0,22237.0
12515,Frost Marsh,,0.0,7092.0
12516,Druidic Satchel,{3},3.0,5123.0
12517,Locust Miser,{2}{B}{B},4.0,7703.0
12518,Tel-Jilad Stylus,{1},1.0,8277.0
12519,Fearless Fledgling,{1}{W},2.0,9905.0
12520,Selesnya Guildgate,,0.0,1048.0
12521,Stag Beetle,{3}{G}{G},5.0,11495.0
12522,Flash Counter,{1}{U},2.0,13830.0
12523,Seed the Land,{2}{G}{G},4.0,9921.0
12524,Song of Creation,{1}{G}{U}{R},4.0,5967.0
12525,Dega Sanctuary,{2}{W},3.0,17697.0
12526,Arashin War Beast,{5}{G}{G},7.0,19069.0
12527,"For Each of You, a Gift",,0.0,
12528,Territorial Scythecat,{2}{G},3.0,4916.0
12529,Rogues,,0.0,
12530,Suntouched Myr,{3},3.0,15849.0
12531,"Tamiyo, Collector of Tales",{2}{G}{U},4.0,2848.0
12532,Army of the Damned,{5}{B}{B}{B},8.0,1147.0
12533,Great Hall of Starnheim,,0.0,6998.0
12534,Sorin's Vengeance,{4}{B}{B}{B},7.0,9658.0
12535,Yasova Dragonclaw,{2}{G},3.0,9171.0
12536,Coiling Woodworm,{2}{G},3.0,15814.0
12537,Shield Bearer,{1}{W},2.0,17460.0
12538,Golgari Rotwurm,{3}{B}{G},5.0,17592.0
12539,Windborn Muse,{3}{W},4.0,999.0
12540,Blinding Powder,{1},1.0,13252.0
12541,Boar Umbra,{2}{G},3.0,5797.0
12542,Curate,{1}{U},2.0,5530.0
12543,Memory's Journey,{1}{U},2.0,6465.0
12544,Topple,{2}{W},3.0,22290.0
12545,Ral Zarek,{2}{U}{R},4.0,3497.0
12546,Tangletrap,{1}{G},2.0,12747.0
12547,Knotvine Paladin,{G}{W},2.0,13641.0
12548,Lost Order of Jarkeld,{2}{W}{W},4.0,22567.0
12549,Leonin Snarecaster,{1}{W},2.0,18345.0
12550,Knight of New Benalia,{1}{W},2.0,16271.0
12551,Raking Canopy,{1}{G}{G},3.0,13343.0
12552,Blood Money,{5}{B}{B},7.0,4353.0
12553,Obelisk of Alara,{6},6.0,15986.0
12554,Broken Dam,{U},1.0,20202.0
12555,Elven Lyre,{2},2.0,23323.0
12556,Guardians of Meletis,{3},3.0,10797.0
12557,Strategic Planning // Strategic Planning,,0.0,
12558,Inscription of Ruin,{2}{B},3.0,9942.0
12559,"Rishkar, Peema Renegade",{2}{G},3.0,856.0
12560,Rhys the Exiled,{2}{G},3.0,3525.0
12561,Lingering Phantom,{5}{B},6.0,20101.0
12562,Safehold Duo,{3}{G/W},4.0,22323.0
12563,Warded Battlements,{2}{W},3.0,14041.0
12564,"Vraska, Regal Gorgon",{5}{B}{G},7.0,12165.0
12565,Elemental,,0.0,
12566,"Teferi, Timebender",{4}{W}{U},6.0,10879.0
12567,Bloodsprout Talisman,{B}{G},2.0,
12568,Bountiful Promenade,,0.0,272.0
12569,Just the Wind,{1}{U},2.0,12962.0
12570,Necroblossom Snarl,,0.0,1125.0
12571,"Jadar, Ghoulcaller of Nephalia // Jadar, Ghoulcaller of Nephalia",,0.0,
12572,Sliver Overlord,{W}{U}{B}{R}{G},5.0,3570.0
12573,Gate Hound,{2}{W},3.0,20129.0
12574,Annihilating Fire,{1}{R}{R},3.0,15282.0
12575,Spellcasting,,0.0,
12576,Disrupt,{U},1.0,7434.0
12577,Lodestone Myr,{4},4.0,7498.0
12578,Mage Duel,{2}{G},3.0,12743.0
12579,Rakdos Cackler,{B/R},1.0,12076.0
12580,Poultrygeist,{2}{B},3.0,
12581,"Jaxis, the Troublemaker",{3}{R},4.0,2376.0
12582,Reaper King Avatar,,0.0,
12583,Rootwire Amalgam,{5},5.0,
12584,Underdark Explorer,{4}{B},5.0,12505.0
12585,Balduvian Trading Post,,0.0,13280.0
12586,Deeproot Elite,{1}{G},2.0,6162.0
12587,Soltari Champion,{2}{W},3.0,10639.0
12588,Sulfuric Vortex,{1}{R}{R},3.0,2775.0
12589,Slash Panther,{4}{R/P},5.0,20351.0
12590,Lonely Sandbar,,0.0,502.0
12591,Weird Harvest,{X}{G}{G},2.0,7305.0
12592,Gobbling Ooze,{4}{G},5.0,11642.0
12593,Caregiver,{W},1.0,20239.0
12594,Kyren Sniper,{2}{R},3.0,20028.0
12595,Defenders of Humanity,{X}{2}{W},3.0,11358.0
12596,Memnite,{0},0.0,1778.0
12597,Xenograft,{4}{U},5.0,6211.0
12598,Prized Unicorn,{3}{G},4.0,11300.0
12599,Panharmonicon,{4},4.0,266.0
12600,Rainbow Vale,,0.0,9356.0
12601,Warlock Class,{B},1.0,3653.0
12602,Uba Mask,{4},4.0,4732.0
12603,Quirion Explorer,{1}{G},2.0,10947.0
12604,Viashino Firstblade,{1}{R}{W},3.0,18581.0
12605,Wild Defiance,{2}{G},3.0,10310.0
12606,Lobe Lobber,{2},2.0,
12607,"Trynn, Champion of Freedom",{3}{W},4.0,7627.0
12608,"Shanna, Purifying Blade",{G}{W}{U},3.0,9821.0
12609,Blitz Leech,{5}{B},6.0,18117.0
12610,Avian Changeling,{2}{W},3.0,6305.0
12611,Transmogrant's Crown,{2},2.0,
12612,Virulent Sliver,{G},1.0,4182.0
12613,Blue Dragon // Blue Dragon,,0.0,
12614,Swarm of Bloodflies,{4}{B},5.0,8608.0
12615,Shadowfeed,{B},1.0,20227.0
12616,"Pir, Imaginative Rascal",{2}{G},3.0,1897.0
12617,Dimir Keyrune,{3},3.0,3394.0
12618,Spelljack,{3}{U}{U}{U},6.0,9540.0
12619,Snow Mercy,{2}{W}{W},4.0,
12620,Wandering Tombshell,{3}{B},4.0,16408.0
12621,Iroas's Blessing,{3}{R},4.0,15689.0
12622,Grafted Skullcap,{4},4.0,11649.0
12623,Master Healer,{4}{W},5.0,20759.0
12624,Torchling,{3}{R}{R},5.0,11260.0
12625,Nahiri's Stoneblades,{1}{R},2.0,16733.0
12626,Cabal Interrogator,{1}{B},2.0,15080.0
12627,Powerstone Shard,{3},3.0,8367.0
12628,"Tezzeret, Betrayer of Flesh // Tezzeret, Betrayer of Flesh",,0.0,
12629,Servo Exhibition,{1}{W},2.0,9757.0
12630,Aven Initiate,,0.0,
12631,Snakeform,{2}{G/U},3.0,11781.0
12632,Gutterbones,{B},1.0,5147.0
12633,Surge of Thoughtweft,{1}{W},2.0,17756.0
12634,Zulaport Cutthroat,{1}{B},2.0,129.0
12635,"Ajani, Sleeper Agent // Ajani, Sleeper Agent",,0.0,
12636,The Hunter,,0.0,
12637,Centaur Omenreader,{3}{G},4.0,11881.0
12638,Quasiduplicate,{1}{U}{U},3.0,1600.0
12639,Moorland Inquisitor,{1}{W},2.0,21561.0
12640,Arsenal Thresher,{2}{W/B}{U},4.0,22035.0
12641,Goblin Commando,{4}{R},5.0,17910.0
12642,Orcish Captain,{R},1.0,15146.0
12643,Tempt with Reflections,{3}{U},4.0,5637.0
12644,Mindslicer,{2}{B}{B},4.0,3996.0
12645,Morkrut Behemoth,{4}{B},5.0,13427.0
12646,Undiscovered Paradise,,0.0,10804.0
12647,"Feldon, Ronom Excavator",{1}{R},2.0,
12648,Inspired Ultimatum,{U}{U}{R}{R}{R}{W}{W},7.0,6167.0
12649,Imperial Outrider,{3}{W},4.0,22848.0
12650,Graceful Reprieve,{1}{W},2.0,12194.0
12651,Dawnhart Rejuvenator // Dawnhart Rejuvenator,,0.0,
12652,Words of War,{2}{R},3.0,14660.0
12653,Howl of the Horde,{2}{R},3.0,7189.0
12654,Assassin's Blade,{1}{B},2.0,16486.0
12655,Ertai's Scorn,{1}{U}{U},3.0,11497.0
12656,Heat Ray,{X}{R},1.0,14628.0
12657,Steam Spitter,{4}{G},5.0,21435.0
12658,Crop Sigil,{G},1.0,9468.0
12659,Rogue Class,{U}{B},2.0,2740.0
12660,Senate Guildmage,{W}{U},2.0,14617.0
12661,Bitterbow Sharpshooters,{4}{G},5.0,18115.0
12662,Skycloud Expanse,,0.0,763.0
12663,Loyal Subordinate,{2}{B},3.0,3770.0
12664,Essence Bottle,{2},2.0,21783.0
12665,Seton's Desire,{2}{G},3.0,15592.0
12666,Wildfire Elemental,{2}{R}{R},4.0,17602.0
12667,Bad Ass,{2}{B}{B},4.0,
12668,Sand Warrior,,0.0,
12669,Crow Storm,{2}{U},3.0,
12670,Snow Fortress,{5},5.0,18623.0
12671,Funeral Rites,{2}{B},3.0,5178.0
12672,Lord of the Undead,{1}{B}{B},3.0,2440.0
12673,Thunderous Orator,{1}{W},2.0,12562.0
12674,Vedalken Anatomist,{2}{U},3.0,15247.0
12675,Lurching Rotbeast,{3}{B},4.0,12846.0
12676,Chimeric Staff,{4},4.0,18920.0
12677,Wormfang Turtle,{2}{U},3.0,18626.0
12678,Krydle of Baldur's Gate,{U}{B},2.0,3229.0
12679,Silumgar Butcher,{4}{B},5.0,20506.0
12680,"Chandra, Flame's Catalyst",{4}{R}{R},6.0,8316.0
12681,Mortarpod,{2},2.0,11139.0
12682,Rumbling Slum,{1}{R}{G}{G},4.0,16549.0
12683,Frenzied Arynx,{2}{R}{G},4.0,15521.0
12684,Greater Morphling,{6}{U}{U},8.0,
12685,Duskmantle Operative,{1}{B},2.0,15997.0
12686,Beast Within,{2}{G},3.0,18.0
12687,Mage's Attendant // Mage's Attendant,,0.0,
12688,Twiddle,{U},1.0,4520.0
12689,Foul Play,{1}{B},2.0,12853.0
12690,Air Elemental,{3}{U}{U},5.0,16676.0
12691,Cruel Entertainment,{6}{B},7.0,8200.0
12692,Peema Outrider,{2}{G}{G},4.0,18783.0
12693,Cathar Commando,{1}{W},2.0,1181.0
12694,Markov Blademaster,{1}{R}{R},3.0,9640.0
12695,Churning Eddy,{3}{U},4.0,20637.0
12696,Woodcutter's Grit,{2}{G},3.0,16509.0
12697,"Vadrok, Apex of Thunder",{U}{R}{W},3.0,6160.0
12698,Conspiracy,{3}{B}{B},5.0,4815.0
12699,Viscera Dragger,{3}{B},4.0,15075.0
12700,Waterwhirl,{4}{U}{U},6.0,21774.0
12701,Capsize,{1}{U}{U},3.0,2033.0
12702,Crystalline Nautilus,{2}{U},3.0,20744.0
12703,Brainstealer Dragon // Brainstealer Dragon,,0.0,
12704,Tyrannical Pitlord,{4}{B}{B},6.0,18110.0
12705,Cloister Gargoyle // Cloister Gargoyle,,0.0,
12706,Spike Weaver,{2}{G}{G},4.0,6157.0
12707,Dream Chisel,{2},2.0,10632.0
12708,Forsaken Monument,{5},5.0,1334.0
12709,Catalyst Elemental,{2}{R},3.0,12600.0
12710,Crag Saurian,{R}{R}{R},3.0,22663.0
12711,Return to Nature,{1}{G},2.0,281.0
12712,Forge of Heroes,,0.0,1656.0
12713,Fathom Fleet Swordjack,{3}{R},4.0,3914.0
12714,Betrothed of Fire,{1}{R},2.0,12878.0
12715,Disciple of Kangee,{2}{W},3.0,23608.0
12716,Fortress Cyclops,{3}{R}{W},5.0,18190.0
12717,Scrapbasket,{4},4.0,13558.0
12718,Shinka Gatekeeper,{2}{R},3.0,18182.0
12719,Shattering Pulse,{1}{R},2.0,10479.0
12720,Kiss of the Amesha,{4}{W}{U},6.0,18670.0
12721,Mad Ratter,{3}{R},4.0,9738.0
12722,Wormfang Behemoth,{3}{U}{U},5.0,23004.0
12723,Janosch Kühn Decklist 1997,,0.0,
12724,Crushing Disappointment,{3}{B},4.0,6840.0
12725,Bounty of the Hunt,{3}{G}{G},5.0,18610.0
12726,Footlight Fiend,{B/R},1.0,10166.0
12727,Flowstone Blade,{R},1.0,18900.0
12728,Illusionary Wall,{4}{U},5.0,16078.0
12729,Veteran Brawlers,{1}{R},2.0,22763.0
12730,Rites of Initiation,{R},1.0,14051.0
12731,Sheltering Word,{1}{G},2.0,8972.0
12732,A-Plate Armor,{1}{W},2.0,
12733,Drawn from Dreams,{2}{U}{U},4.0,3704.0
12734,Soulshriek,{B},1.0,17565.0
12735,Sphinx Summoner,{3}{U}{B},5.0,6755.0
12736,Spitting Slug,{1}{G}{G},3.0,23580.0
12737,Shakedown Heavy,{2}{B},3.0,6461.0
12738,Mental Journey // Mental Journey,,0.0,
12739,Feiyi Snake,{1}{G},2.0,18505.0
12740,Clear the Stage,{4}{B},5.0,18859.0
12741,Wilt,{1}{G},2.0,3613.0
12742,Aspect of Wolf,{1}{G},2.0,15066.0
12743,Urban Utopia,{1}{G},2.0,9232.0
12744,Swarm Surge,{2}{B},3.0,15977.0
12745,Skyshroud Behemoth,{5}{G}{G},7.0,21905.0
12746,Shattered Crypt,{X}{B}{B},2.0,19151.0
12747,Cryoclasm,{2}{R},3.0,21186.0
12748,Mogg Toady,{1}{R},2.0,23404.0
12749,Unifying Theory,{1}{U},2.0,15825.0
12750,Eidolon of Blossoms,{2}{G}{G},4.0,736.0
12751,"Thalisse, Reverent Medium",{3}{W}{B},5.0,2580.0
12752,Sulfurous Mire,,0.0,1746.0
12753,Blade Instructor,{2}{W},3.0,16555.0
12754,You See a Pair of Goblins,{2}{R},3.0,5212.0
12755,Yet Another Aether Vortex,{3}{R}{R},5.0,
12756,Knowledge Vault,{4},4.0,22458.0
12757,Merfolk Falconer,{3}{U}{U},5.0,14781.0
12758,Metamorphose,{1}{U},2.0,16637.0
12759,Bird,,0.0,
12760,Dominate,{X}{1}{U}{U},3.0,9150.0
12761,Skyline Scout,{1}{W},2.0,22577.0
12762,Kalastria Highborn,{B}{B},2.0,7677.0
12763,Corrupt Eunuchs,{3}{R},4.0,23604.0
12764,Disfigure,{B},1.0,13486.0
12765,Loxodon Restorer,{4}{W}{W},6.0,17559.0
12766,Simian Simulacrum,{3},3.0,
12767,Auriok Glaivemaster,{W},1.0,18888.0
12768,Zombie Warrior,,0.0,
12769,Pure Intentions,{W},1.0,19736.0
12770,Concerted Defense,{U},1.0,8776.0
12771,"Teferi, Hero of Dominaria Emblem",,0.0,
12772,Foratog,{2}{G},3.0,15205.0
12773,Quickchange,{1}{U},2.0,14642.0
12774,Virulent Swipe,{B},1.0,12271.0
12775,Despoil,{3}{B},4.0,19650.0
12776,Ogre Warrior,,0.0,
12777,Roiling Waters,{5}{U}{U},7.0,18158.0
12778,Hard Hat Area,,0.0,
12779,Tenured Inkcaster,{4}{B},5.0,8655.0
12780,Nurturer Initiate,{G},1.0,20032.0
12781,Shambling Swarm,{1}{B}{B}{B},4.0,14726.0
12782,Construct,,0.0,
12783,Boar,,0.0,
12784,Cho-Arrim Legate,{2}{W},3.0,21183.0
12785,Phantasmal Bear,{U},1.0,12075.0
12786,Giant Crab,{4}{U},5.0,14064.0
12787,Goblin Bird-Grabber,{1}{R},2.0,19048.0
12788,Aladdin's Ring,{8},8.0,18829.0
