,name,color_identity,type_line
10973,Roil Eruption,['R'],Sorcery
10974,Raging Redcap,['R'],Creature — Goblin Knight
10975,Infuse with Vitality,"['B', 'G']",Instant
10976,Thraben Standard Bearer,['W'],Creature — Human Soldier
10977,Lantern Bearer // Lanterns' Lift,['U'],Creature — Spirit // Enchantment — Aura
10978,Raven Guild Initiate,['U'],Creature — Human Wizard
10979,My Wish Is Your Command,[],Scheme
10980,Man-o'-War,['U'],Creature — Jellyfish
10981,Blood Beckoning,['B'],Sorcery
10982,Sylvan Brushstrider,['G'],Creature — Beast
10983,Wirewood Symbiote,['G'],Creature — Insect
10984,Spitting Hydra,['R'],Creature — Hydra
10985,Give // Take,"['G', 'U']",Sorcery // Sorcery
10986,"Codie, Vociferous Codex","['B', 'G', 'R', 'U', 'W']",Legendary Artifact Creature — Construct
10987,Decree of Justice,['W'],Sorcery
10988,"Duskmantle, House of Shadow","['B', 'U']",Land
10989,Ascending Aven,['U'],Creature — Bird Soldier
10990,Stromkirk Condemned,['B'],Creature — Vampire Horror
10991,Fleshformer,"['B', 'G', 'R', 'U', 'W']",Creature — Human Wizard
10992,Contingency Plan,['U'],Sorcery
10993,Runaway Carriage,[],Artifact Creature — Construct
10994,Slaughter Pact,['B'],Instant
10995,Worldheart Phoenix,"['B', 'G', 'R', 'U', 'W']",Creature — Phoenix
10996,Goblin War Paint,['R'],Enchantment — Aura
10997,Bant Sojourners,"['G', 'U', 'W']",Creature — Human Soldier
10998,Kefnet's Last Word,['U'],Sorcery
10999,Rotfeaster Maggot,['B'],Creature — Insect
11000,Reign of Terror,['B'],Sorcery
11001,Silversmote Ghoul,['B'],Creature — Zombie Vampire
11002,Verdant Catacombs,"['B', 'G']",Land
11003,Meddle,['U'],Instant
11004,Clockwork Servant,[],Artifact Creature — Gnome
11005,Sarkhan the Masterless,['R'],Legendary Planeswalker — Sarkhan
11006,Guardian Naga // Banishing Coils,['W'],Creature — Naga // Instant — Adventure
11007,"Arvad, Weatherlight Smuggler","['B', 'W']",Legendary Creature — Vampire Knight
11008,Spectral Adversary // Spectral Adversary,[],Card // Card
11009,Grabby Tabby,['G'],Creature — Cat Guest
11010,Enter the God-Eternals,"['B', 'U']",Sorcery
11011,Squirrel,['G'],Token Creature — Squirrel
11012,Reflecting Pool,[],Land
11013,Sungrace Pegasus,['W'],Creature — Pegasus
11014,Library of Lat-Nam,['U'],Sorcery
11015,Prey's Vengeance,['G'],Instant
11016,Blood Knight,['R'],Creature — Human Knight
11017,Littjara Kinseekers,['U'],Creature — Shapeshifter
11018,Magus of the Moon,['R'],Creature — Human Wizard
11019,Stolen Strategy,['R'],Enchantment
11020,Defiant Vanguard,['W'],Creature — Human Rebel
11021,Artful Looter,['U'],Creature — Human Wizard
11022,"Pako, Arcane Retriever","['G', 'R']",Legendary Creature — Elemental Dog
11023,Contraband Kingpin,"['B', 'U']",Creature — Aetherborn Rogue
11024,Death Cloud,['B'],Sorcery
11025,Tyranid Warrior,['G'],Token Creature — Tyranid Warrior
11026,Drogskol Reaver,"['U', 'W']",Creature — Spirit
11027,Splendid Reclamation // Splendid Reclamation,[],Card // Card
11028,Tower Gargoyle,"['B', 'U', 'W']",Artifact Creature — Gargoyle
11029,Hateflayer,['R'],Creature — Elemental
11030,Prized Statue,[],Artifact
11031,Ongoing Investigation,"['G', 'U']",Enchantment
11032,Switcheroo,['U'],Sorcery
11033,Finale of Glory,['W'],Sorcery
11034,Basri's Solidarity,['W'],Sorcery
11035,Shade's Form,['B'],Enchantment — Aura
11036,Beloved Princess,['W'],Creature — Human Noble
11037,River Heralds' Boon,['G'],Instant
11038,Terraformer,['U'],Creature — Human Wizard
11039,Empowered Autogenerator,[],Artifact
11040,Rooftop Storm,['U'],Enchantment
11041,Alert Heedbonder,"['G', 'W']",Creature — Human Scout
11042,Sustaining Spirit,['W'],Creature — Angel Spirit
11043,Reborn Hope,"['G', 'W']",Sorcery
11044,Serendib Djinn,['U'],Creature — Djinn
11045,Vanquish,['W'],Instant
11046,Winds of Rebuke,['U'],Instant
11047,Coercion,['B'],Sorcery
11048,"Krenko, Mob Boss",['R'],Legendary Creature — Goblin Warrior
11049,Vile Rebirth,['B'],Instant
11050,Graceful Adept,['U'],Creature — Human Wizard
11051,Very Cryptic Command,['U'],Instant
11052,Tolarian Serpent,['U'],Creature — Serpent
11053,Madcap Experiment,['R'],Sorcery
11054,S.N.O.T.,['G'],Creature — Ooze
11055,Liliana's Contract,['B'],Enchantment
11056,Rude Awakening,['G'],Sorcery
11057,Painiac,['R'],Creature — Brainiac
11058,Convincing Mirage,['U'],Enchantment — Aura
11059,"Eruth, Tormented Prophet // Eruth, Tormented Prophet",[],Card // Card
11060,Glaze Fiend,['B'],Artifact Creature — Illusion
11061,Moldervine Reclamation,"['B', 'G']",Enchantment
11062,Tyvar Kell // Tyvar Kell,[],Card // Card
11063,Center Soul,['W'],Instant
11064,Tolarian Winds,['U'],Instant
11065,Compelling Argument,['U'],Sorcery
11066,Golgari Grave-Troll,['G'],Creature — Troll Skeleton
11067,Furnace of Rath,['R'],Enchantment
11068,Goatnapper,['R'],Creature — Goblin Rogue
11069,Cloudshift,['W'],Instant
11070,Lightning Reaver,"['B', 'R']",Creature — Zombie Beast
11071,Relentless Hunter,"['G', 'R']",Creature — Human Warrior
11072,Verdant Touch,['G'],Sorcery
11073,Celestus Sanctifier,['W'],Creature — Human Cleric
11074,Amoeboid Changeling,['U'],Creature — Shapeshifter
11075,Endangered Armodon,['G'],Creature — Elephant
11076,Imperial Aerosaur,['W'],Creature — Dinosaur
11077,Coordinated Charge,['W'],Instant
11078,Rusting Golem,[],Artifact Creature — Golem
11079,Sifter of Skulls,['B'],Creature — Eldrazi
11080,Ravaged Highlands,['R'],Land
11081,Accorder Paladin,['W'],Creature — Human Knight
11082,Llanowar Elves,['G'],Creature — Elf Druid
11083,"Miara, Thorn of the Glade",['B'],Legendary Creature — Elf Scout
11084,Chicken Troupe,['G'],Creature — Bird Performer
11085,Daggerclaw Imp,['B'],Creature — Imp
11086,Haunted One,['B'],Legendary Enchantment — Background
11087,Duskwalker,['B'],Creature — Human Minion
11088,Crusher Zendikon,['R'],Enchantment — Aura
11089,Zombie Knight,['B'],Token Creature — Zombie Knight
11090,Infernal Tutor,['B'],Sorcery
11091,Boreal Elemental,['U'],Creature — Elemental
11092,Treefolk Mystic,['G'],Creature — Treefolk
11093,Gleam of Authority,['W'],Enchantment — Aura
11094,Priority Boarding,['R'],Enchantment
11095,Battlefield Raptor,['W'],Creature — Bird
11096,Rootwater Thief,['U'],Creature — Merfolk Rogue
11097,Generator Servant,['R'],Creature — Elemental
11098,Ruin in Their Wake,['G'],Sorcery
11099,Form of the Dinosaur,['R'],Enchantment
11100,Simic Fluxmage,['U'],Creature — Merfolk Wizard
11101,Barrin's Spite,"['B', 'U']",Sorcery
11102,Cloak of Invisibility,['U'],Enchantment — Aura
11103,Kumena's Speaker,['G'],Creature — Merfolk Shaman
11104,"Varragoth, Bloodsky Sire",['B'],Legendary Creature — Demon Rogue
11105,Thief of Sanity,"['B', 'U']",Creature — Specter
11106,Nivix Cyclops,"['R', 'U']",Creature — Cyclops
11107,Talas Lookout,['U'],Creature — Human Pirate
11108,Scavenging Ghoul,['B'],Creature — Zombie
11109,Nim Replica,['B'],Artifact Creature — Zombie
11110,Tavern Scoundrel,['R'],Creature — Human Rogue
11111,Inferno Hellion,['R'],Creature — Hellion
11112,Vault Robber,['R'],Creature — Dwarf Rogue
11113,Safehold Elite,"['G', 'W']",Creature — Elf Scout
11114,Vedalken Infuser,['U'],Creature — Vedalken Wizard
11115,"Jenson Carthalion, Druid Exile","['B', 'G', 'R', 'U', 'W']",Legendary Creature — Human Druid
11116,"Saheeli, Filigree Master","['R', 'U']",Legendary Planeswalker — Saheeli
11117,Kalonian Behemoth,['G'],Creature — Beast
11118,Death Match,['B'],Enchantment
11119,Veteran's Voice,['R'],Enchantment — Aura
11120,Junkyard Genius,"['B', 'R']",Creature — Human Artificer
11121,Maestros Diabolist,"['B', 'R', 'U']",Creature — Vampire Warrior
11122,Dreamborn Muse,['U'],Creature — Spirit
11123,Crosswinds,['G'],Enchantment
11124,Avatar of Might,['G'],Creature — Avatar
11125,Cemetery Gatekeeper // Cemetery Gatekeeper,[],Card // Card
11126,Beast Walkers,"['G', 'W']",Creature — Human Beast Soldier
11127,Excavation Mole,['G'],Creature — Mole
11128,"Chandra, Pyromaster",['R'],Legendary Planeswalker — Chandra
11129,GO TO JAIL,['W'],Enchantment
11130,Krark-Clan Ironworks,[],Artifact
11131,Mass Manipulation,['U'],Sorcery
11132,Expedition Supplier,['W'],Creature — Human Warrior
11133,Benthicore,['U'],Creature — Elemental
11134,Dire Fleet Captain,"['B', 'R']",Creature — Orc Pirate
11135,Sire of the Storm,['U'],Creature — Spirit
11136,Laquatus's Disdain,['U'],Instant
11137,Nascent Metamorph,['U'],Creature — Shapeshifter
11138,Antagonism,['R'],Enchantment
11139,Commune with Spirits,['G'],Sorcery
11140,Cliffhaven Kitesail,[],Artifact — Equipment
11141,Gluttonous Slug,['B'],Creature — Slug Horror
11142,Gruul Nodorog,"['G', 'R']",Creature — Beast
11143,Wu Longbowman,['U'],Creature — Human Soldier Archer
11144,Sparkmage Apprentice,['R'],Creature — Human Wizard
11145,Manacles of Decay,"['B', 'R', 'W']",Enchantment — Aura
11146,Coordinated Barrage,['W'],Instant
11147,Bone Shaman,"['B', 'R']",Creature — Giant Shaman
11148,Clone Legion,['U'],Sorcery
11149,Spinerock Knoll,['R'],Land
11150,Sphinx of the Chimes,['U'],Creature — Sphinx
11151,"Odric, Blood-Cursed","['R', 'W']",Legendary Creature — Vampire Soldier
11152,Genasi Rabble-Rouser,['R'],Creature — Elemental Shaman
11153,Bonebreaker Giant,['R'],Creature — Giant
11154,Tablet of Epityr,[],Artifact
11155,"Kiora, the Tide's Fury",['U'],Legendary Planeswalker — Kiora
11156,Circle of Dreams Druid // Circle of Dreams Druid,[],Card // Card
11157,Enlisted Wurm,"['G', 'W']",Creature — Wurm
11158,Pyre of Heroes,[],Artifact
11159,Tergrid's Shadow,['B'],Instant
11160,Chittering Host,['B'],Creature — Eldrazi Horror
11161,Ethersworn Sphinx // Ethersworn Sphinx,[],Card // Card
11162,Magus of the Library,['G'],Creature — Human Wizard
11163,Thought Reflection,['U'],Enchantment
11164,Yahenni's Expertise,['B'],Sorcery
11165,Nacatl War-Pride,['G'],Creature — Cat Warrior
11166,"Rayne, Academy Chancellor",['U'],Legendary Creature — Human Wizard
11167,Ironshell Beetle,['G'],Creature — Insect
11168,Squirrel Sanctuary,['G'],Enchantment
11169,Greenseeker,['G'],Creature — Elf Spellshaper
11170,Laquatus's Champion,['B'],Creature — Nightmare Horror
11171,Phyrexian Beast,['G'],Token Creature — Phyrexian Beast
11172,Gonti's Aether Heart,[],Legendary Artifact
11173,Tainted Indulgence,"['B', 'U']",Instant
11174,Volcanic Rush,['R'],Instant
11175,"Augusta, Dean of Order // Augusta, Dean of Order",[],Card // Card
11176,Wurm's Tooth,[],Artifact
11177,Great Hart,['W'],Creature — Elk
11178,Galvanic Alchemist,['U'],Creature — Human Wizard
11179,Ranger's Guile,['G'],Instant
11180,Vulshok Berserker,['R'],Creature — Human Berserker
11181,Trumpeting Herd,['G'],Sorcery
11182,Component Collector,['U'],Creature — Homunculus
11183,Merchant Ship,['U'],Creature — Human
11184,Soulcatchers' Aerie,['W'],Enchantment
11185,Wild Celebrants,['R'],Creature — Satyr
11186,Beast,['G'],Token Creature — Beast
11187,Blood Celebrant,['B'],Creature — Human Cleric
11188,Raging Cougar,['R'],Creature — Cat
11189,Chromanticore,"['B', 'G', 'R', 'U', 'W']",Enchantment Creature — Manticore
11190,Arasta of the Endless Web,['G'],Legendary Enchantment Creature — Spider
11191,Circle of Affliction,['B'],Enchantment
11192,Busted!,['U'],Instant
11193,"Alesha, Who Smiles at Death","['B', 'R', 'W']",Legendary Creature — Human Warrior
11194,Daru Stinger,['W'],Creature — Soldier
11195,Urza's Contact Lenses,[],Artifact
11196,Goblin Pyromancer,['R'],Creature — Goblin Wizard
11197,Witherbloom Apprentice,"['B', 'G']",Creature — Human Druid
11198,Aven Battle Priest,['W'],Creature — Bird Cleric
11199,Worldsoul Colossus,"['G', 'W']",Creature — Elemental
11200,Scroll of Origins,[],Artifact
11201,Blood Rites,['R'],Enchantment
11202,"Ao, the Dawn Sky",['W'],Legendary Creature — Dragon Spirit
11203,Dockside Extortionist,['R'],Creature — Goblin Pirate
11204,Molten Ravager,['R'],Creature — Elemental
11205,The Bears of Littjara,"['G', 'U']",Enchantment — Saga
11206,Mogg Bombers,['R'],Creature — Goblin
11207,Torch Song,['R'],Enchantment
11208,Arisen Gorgon,['B'],Creature — Zombie Gorgon
11209,"Obosh, the Preypiercer","['B', 'R']",Legendary Creature — Hellion Horror
11210,Finale of Devastation,['G'],Sorcery
11211,Bartizan Bats,['B'],Creature — Bat
11212,Hunted Wumpus,['G'],Creature — Beast
11213,Mutilate,['B'],Sorcery
11214,Bleak Coven Vampires,['B'],Creature — Vampire Warrior
11215,Blizzard,['G'],Enchantment
11216,Wrath of Sod,"['G', 'W']",Sorcery
11217,Vanquish the Foul,['W'],Sorcery
11218,Angelic Reward,['W'],Enchantment — Aura
11219,Woodland Mystic,['G'],Creature — Elf Druid
11220,Inner-Flame Acolyte,['R'],Creature — Elemental Shaman
11221,Necromancy,['B'],Enchantment
11222,Bogardan Hellkite,['R'],Creature — Dragon
11223,Vizier of Tumbling Sands,['U'],Creature — Human Cleric
11224,Pharagax Giant,['R'],Creature — Giant
11225,Chandra's Pyrohelix,['R'],Instant
11226,Ronin Houndmaster,['R'],Creature — Human Samurai
11227,Aven Fisher,['U'],Creature — Bird Soldier
11228,Bone Shredder,['B'],Creature — Phyrexian Minion
11229,"Baird, Steward of Argive",['W'],Legendary Creature — Human Soldier
11230,Natural Balance,['G'],Sorcery
11231,Can't Stay Away,"['B', 'W']",Sorcery
11232,Wilt-Leaf Cavaliers,"['G', 'W']",Creature — Elf Knight
11233,Prophetic Ravings,['R'],Enchantment — Aura
11234,Aerial Responder,['W'],Creature — Dwarf Soldier
11235,The Tabernacle at Pendrell Vale,[],Legendary Land
11236,End-Raze Forerunners,['G'],Creature — Boar
11237,Bravado,['R'],Enchantment — Aura
11238,Healer of the Pride,['W'],Creature — Cat Cleric
11239,Tattermunge Maniac,"['G', 'R']",Creature — Goblin Warrior
11240,Hexdrinker,['G'],Creature — Snake
11241,Arashin Cleric,['W'],Creature — Human Cleric
11242,Wake the Dead,['B'],Instant
11243,Ruthless Deathfang,"['B', 'U']",Creature — Dragon
11244,Arena Trickster,['R'],Creature — Human Shaman
11245,Alaborn Grenadier,['W'],Creature — Human Soldier
11246,Tail Slash,['R'],Instant
11247,Rot-Tide Gargantua,['B'],Creature — Zombie Kraken
11248,Archway Commons,[],Land
11249,Roterothopter,[],Artifact Creature — Thopter
11250,Daring Sleuth // Bearer of Overwhelming Truths,['U'],Creature — Human Rogue // Creature — Human Wizard
11251,Mitotic Manipulation,['U'],Sorcery
11252,Dust Stalker,"['B', 'R']",Creature — Eldrazi
11253,Fit of Rage,['R'],Sorcery
11254,Saproling Symbiosis,['G'],Sorcery
11255,Thelonite Hermit,['G'],Creature — Elf Shaman
11256,Guise of Fire,['R'],Enchantment — Aura
11257,Endless Ranks of the Dead,['B'],Enchantment
11258,Killing Wave,['B'],Sorcery
11259,Trinisphere,[],Artifact
11260,Qarsi Sadist,['B'],Creature — Human Cleric
11261,Sphinx Ambassador,['U'],Creature — Sphinx
11262,Inferno,['R'],Instant
11263,Relic Runner,['U'],Creature — Human Rogue
11264,"Thassa, God of the Sea",['U'],Legendary Enchantment Creature — God
11265,Blossom Prancer,['G'],Creature — Spirit
11266,Curse of Predation,['G'],Enchantment — Aura Curse
11267,Flowstone Hellion,['R'],Creature — Hellion Beast
11268,Hero's Demise,['B'],Instant
11269,Spinning Darkness,['B'],Instant
11270,Final Judgment,['W'],Sorcery
11271,Onakke Catacomb,[],Plane — Shandalar
11272,Kabira Outrider,['W'],Creature — Human Warrior
11273,Chasm Skulker,['U'],Creature — Squid Horror
11274,Thriving Isle,['U'],Land
11275,Coiling Oracle,"['G', 'U']",Creature — Snake Elf Druid
11276,Pin Collection,['W'],Artifact — Equipment
11277,Graceful Cat,['W'],Creature — Cat
11278,Battlefront Krushok,['G'],Creature — Beast
11279,Swarming Goblins,['R'],Creature — Goblin
11280,Alpine Watchdog,['W'],Creature — Dog
11281,Dwarven Priest,['W'],Creature — Dwarf Cleric
11282,"Falthis, Shadowcat Familiar",['B'],Legendary Creature — Nightmare Cat
11283,"Haldan, Avid Arcanist",['U'],Legendary Creature — Human Wizard
11284,In the Eye of Chaos,['U'],World Enchantment
11285,Altar's Reap,['B'],Instant
11286,Striking Sliver,['R'],Creature — Sliver
11287,Rathi Dragon,['R'],Creature — Dragon
11288,Auriok Siege Sled,[],Artifact Creature — Juggernaut
11289,Imprison This Insolent Wretch,[],Ongoing Scheme
11290,Mystery Key,['U'],Artifact — Equipment
11291,Erdwal Ripper,['R'],Creature — Vampire
11292,Avatar,['W'],Token Creature — Avatar
11293,Loose Lips,['U'],Enchantment — Aura
11294,Arena Rector,['W'],Creature — Human Cleric
11295,Shifting Sliver,['U'],Creature — Sliver
11296,Thought Collapse,['U'],Instant
11297,Spawn of Mayhem,['B'],Creature — Demon
11298,Mistform Skyreaver,['U'],Creature — Illusion
11299,Dragonspeaker Shaman,['R'],Creature — Human Barbarian Shaman
11300,Venomous Vines,['G'],Sorcery
11301,"Kangee, Sky Warden","['U', 'W']",Legendary Creature — Bird Wizard
11302,Changeling Berserker,['R'],Creature — Shapeshifter
11303,Flight,['U'],Enchantment — Aura
11304,Salt Marsh,"['B', 'U']",Land
11305,Storm Spirit,"['G', 'U', 'W']",Creature — Elemental Spirit
11306,"Skanos, Red Dragon Vassal","['G', 'R']",Legendary Creature — Dragon Ranger
11307,"Urza, Prince of Kroog","['U', 'W']",Legendary Creature — Human Artificer
11308,Inkrise Infiltrator,['B'],Creature — Human Ninja
11309,Ghostly Flame,"['B', 'R']",Enchantment
11310,Craw Wurm,['G'],Creature — Wurm
11311,Dash Hopes,['B'],Instant
11312,Cave People,['R'],Creature — Human
11313,"Garruk, Cursed Huntsman Emblem",[],Emblem
11314,Flame-Blessed Bolt,['R'],Instant
11315,Elemental,['R'],Token Creature — Elemental
11316,Virulent Wound,['B'],Instant
11317,Seismic Wave,['R'],Instant
11318,Charmed Griffin,['W'],Creature — Griffin
11319,Druid's Familiar,['G'],Creature — Bear
11320,Momentous Fall,['G'],Instant
11321,Sulfur Falls,"['R', 'U']",Land
11322,Nissa's Renewal,['G'],Sorcery
11323,Unstable Shapeshifter,['U'],Creature — Shapeshifter
11324,Shepherd of Heroes,['W'],Creature — Angel Cleric
11325,"Kolvori, God of Kinship // Kolvori, God of Kinship",[],Card // Card
11326,Eyetwitch,['B'],Creature — Eye Bat
11327,Spirit,[],Token Creature — Spirit
11328,Deadfall,['G'],Enchantment
11329,Mirror Mockery,['U'],Enchantment — Aura
11330,Stasis Snare,['W'],Enchantment
11331,Tuvasa the Sunlit,"['G', 'U', 'W']",Legendary Creature — Merfolk Shaman
11332,Mirage Mirror,[],Artifact
11333,Warrior,['W'],Token Creature — Warrior
11334,Roving Keep,[],Artifact Creature — Wall
11335,Magmatic Insight,['R'],Sorcery
11336,Axgard Cavalry,['R'],Creature — Dwarf Berserker
11337,A-Cauldron Familiar,['B'],Creature — Cat
11338,Watchdog,[],Artifact Creature — Dog
11339,"Lagrella, the Magpie","['G', 'U', 'W']",Legendary Creature — Human Soldier
11340,Relic of Progenitus,[],Artifact
11341,Lumberknot,['G'],Creature — Treefolk
11342,Ceremonious Rejection,['U'],Instant
11343,Daredevil Dragster,[],Artifact — Vehicle
11344,Triumphant Adventurer,"['B', 'W']",Creature — Human Knight
11345,Metathran Transport,['U'],Creature — Metathran
11346,Khenra Scrapper,['R'],Creature — Jackal Warrior
11347,Ichneumon Druid,['G'],Creature — Human Druid
11348,Teachings of the Archaics,['U'],Sorcery — Lesson
11349,Frenzied Goblin,['R'],Creature — Goblin Berserker
11350,"Ghen, Arcanum Weaver","['B', 'R', 'W']",Legendary Creature — Human Wizard
11351,"Tibalt, Cosmic Impostor // Tibalt, Cosmic Impostor",[],Card // Card
11352,Strafe,['R'],Sorcery
11353,Chameleon Blur,['G'],Instant
11354,Desert Cerodon,['R'],Creature — Beast
11355,Boldwyr Intimidator,['R'],Creature — Giant Warrior
11356,Unassuming Gelatinous Serpent,[],Stickers
11357,"Vega, the Watcher // Vega, the Watcher",[],Card // Card
11358,Yotian Dissident,"['G', 'W']",Creature — Human Artificer
11359,Sol Ring,[],Artifact
11360,Thundersong Trumpeter,"['R', 'W']",Creature — Human Soldier
11361,Divine Arrow,['W'],Instant
11362,Highspire Mantis,"['R', 'W']",Creature — Insect
11363,Kyren Glider,['R'],Creature — Goblin
11364,Acid Rain,['U'],Sorcery
11365,Meria's Outrider,['R'],Creature — Elf Archer
11366,Acorn Harvest,['G'],Sorcery
11367,Mastermind's Acquisition,['B'],Sorcery
11368,Trigon of Infestation,['G'],Artifact
11369,Sanctuary Raptor,[],Artifact Creature — Bird
11370,Psychic Purge,['U'],Sorcery
11371,"Deekah, Fractal Theorist",['U'],Legendary Creature — Human Wizard
11372,Winchester Draft // Winchester Draft (cont'd),[],Card // Card
11373,Hollowborn Barghest,['B'],Creature — Demon Dog
11374,Elvish Spirit Guide,['G'],Creature — Elf Spirit
11375,Kinsbaile Skirmisher,['W'],Creature — Kithkin Soldier
11376,Firefly,['R'],Creature — Insect
11377,Mishra's Helix,[],Artifact
11378,Angelic Benediction,['W'],Enchantment
11379,Brood Sliver,['G'],Creature — Sliver
11380,Gem of Becoming,[],Artifact
11381,Damping Field,['W'],Enchantment
11382,Angel's Mercy,['W'],Instant
11383,Dakmor Ghoul,['B'],Creature — Zombie
11384,Llanowar Knight,"['G', 'W']",Creature — Elf Knight
11385,Swamp // Swamp,[],Card // Card
11386,Trygon Prime,"['G', 'U']",Creature — Tyranid
11387,Pride Guardian,['W'],Creature — Cat Monk
11388,Loxodon Stalwart,['W'],Creature — Elephant Soldier
11389,Three Wishes,['U'],Instant
11390,Blinding Light,['W'],Sorcery
11391,Belisarius Cawl,"['U', 'W']",Legendary Artifact Creature — Human
11392,Olivia's Attendants,['R'],Creature — Vampire
11393,Goblin Haberdasher,['R'],Creature — Goblin Hatificer
11394,Mutavault,[],Land
11395,Mox Lotus,[],Artifact
11396,Handy Dandy Clone Machine,[],Artifact
11397,Gelatinous Cube // Gelatinous Cube,[],Card // Card
11398,Shade's Breath,['B'],Instant
11399,Ideas Unbound,['U'],Sorcery — Arcane
11400,Two-Headed Giant of Foriys Avatar,[],Vanguard
11401,Tribal Unity,['G'],Instant
11402,Touch of the Void,['R'],Sorcery
11403,Predatory Sliver,['G'],Creature — Sliver
11404,Furtive Homunculus,['U'],Creature — Homunculus
11405,Abyssal Horror,['B'],Creature — Horror
11406,Temporal Manipulation,['U'],Sorcery
11407,Teeterpeak Ambusher // Teeterpeak Ambusher,[],Card // Card
11408,Wheel of Sun and Moon,"['G', 'W']",Enchantment — Aura
11409,Arrester's Zeal,['W'],Instant
11410,A-Paragon of Modernity,[],Artifact Creature — Angel Warrior
11411,Battlefield Forge,"['R', 'W']",Land
11412,Dread Charge,['B'],Sorcery
11413,Diabolic Vision,"['B', 'U']",Sorcery
11414,Lightning Blow,['W'],Instant
11415,Grindclock,[],Artifact
11416,Merrow Reejerey,['U'],Creature — Merfolk Soldier
11417,Space Marine Scout,['W'],Creature — Astartes Scout
11418,Minotaur,['R'],Token Creature — Minotaur
11419,Mobilization,['W'],Enchantment
11420,Citanul Flute,[],Artifact
11421,Ugin's Construct,[],Artifact Creature — Construct
11422,Servo Schematic,[],Artifact
11423,Arcane Savant,['U'],Creature — Human Wizard
11424,Basalt Monolith,[],Artifact
11425,Soul of the Harvest,['G'],Creature — Elemental
11426,The Phasing of Zhalfir,['U'],Enchantment — Saga
11427,Deadly Recluse,['G'],Creature — Spider
11428,Idol of Endurance,['W'],Artifact
11429,Esper Panorama,[],Land
11430,"Koma, Cosmos Serpent","['G', 'U']",Legendary Creature — Serpent
11431,Golden Bear,['G'],Creature — Bear
11432,The Fall of Lord Konda // Fragment of Konda,['W'],Enchantment — Saga // Enchantment Creature — Human Noble
11433,Ancient Crab,['U'],Creature — Crab
11434,Aerial Predation,['G'],Instant
11435,Ketria Triome,"['G', 'R', 'U']",Land — Forest Island Mountain
11436,Forsaken City,[],Land
11437,Aetherflame Wall,['R'],Creature — Wall
11438,Yarok's Fenlurker,['B'],Creature — Horror
11439,Beast,['G'],Token Creature — Beast
11440,"Arlinn Kord // Arlinn, Embraced by the Moon","['G', 'R']",Legendary Planeswalker — Arlinn // Legendary Planeswalker — Arlinn
11441,Herald of the Fair,['W'],Creature — Human
11442,Dungeon Master,"['U', 'W']",Legendary Planeswalker — Dungeon Master
11443,Rally Maneuver,['W'],Instant
11444,Veteran Soldier,['W'],Legendary Enchantment — Background
11445,Soaring Drake,['U'],Creature — Drake
11446,Shadow Prophecy // Shadow Prophecy,[],Card // Card
11447,Belle of the Brawl,['B'],Creature — Human Knight
11448,Expanded Anatomy,[],Sorcery — Lesson
11449,Umara Wizard // Umara Skyfalls,['U'],Creature — Merfolk Wizard // Land
11450,Prophet of Distortion,['U'],Creature — Eldrazi Drone
11451,Piranha Marsh,['B'],Land
11452,Heir of the Ancient Fang,['G'],Creature — Snake Samurai
11453,Undermine,"['B', 'U']",Instant
11454,Sloppity Bilepiper,['B'],Creature — Demon
11455,Hydroid Krasis,"['G', 'U']",Creature — Jellyfish Hydra Beast
11456,Frostpyre Arcanist,['U'],Creature — Giant Wizard
11457,Glorious Protector,['W'],Creature — Angel Cleric
11458,Staff of the Wild Magus,[],Artifact
11459,Mordenkainen,['U'],Legendary Planeswalker — Mordenkainen
11460,Poultice Sliver,['W'],Creature — Sliver
11461,Sosuke's Summons,['G'],Sorcery
11462,Painful Lesson,['B'],Sorcery
11463,Mosquito Guard,['W'],Creature — Kithkin Soldier
11464,Foul Renewal,['B'],Instant
11465,Archfiend of Spite,['B'],Creature — Demon
11466,Sin Collector,"['B', 'W']",Creature — Human Cleric
11467,Black Carriage,['B'],Creature — Horse
11468,Sandcrafter Mage,['W'],Creature — Human Wizard
11469,Bog Glider,['B'],Creature — Human Mercenary
11470,Growth Spasm,['G'],Sorcery
11471,Drake,"['G', 'U']",Token Creature — Drake
11472,Konda's Hatamoto,['W'],Creature — Human Samurai
11473,Shipwreck Moray,['U'],Creature — Fish
11474,Under the Sea,[],Card
11475,Spire Serpent,['U'],Creature — Serpent
11476,"Yidaro, Wandering Monster",['R'],Legendary Creature — Dinosaur Turtle
11477,Crush of Wurms,['G'],Sorcery
11478,Spreading Plague,['B'],Enchantment
11479,Earsplitting Rats,['B'],Creature — Rat
11480,Nexus of Fate,['U'],Instant
11481,Foxfire,['G'],Instant
11482,Avenging Arrow,['W'],Instant
11483,Bird Illusion,['U'],Token Creature — Bird Illusion
11484,Dack Fayden Emblem,[],Emblem — Dack
11485,"Azusa, Lost but Seeking",['G'],Legendary Creature — Human Monk
11486,Excommunicate,['W'],Sorcery
11487,Rootweaver Druid,['G'],Creature — Elf Druid
11488,Thran Turbine,[],Artifact
11489,Talisman of Conviction,"['R', 'W']",Artifact
11490,"Lin Sivvi, Defiant Hero",['W'],Legendary Creature — Human Rebel
11491,Volo's Journal,[],Token Legendary Artifact
11492,Storm Entity,['R'],Creature — Elemental
11493,Heliophial,[],Artifact
